id,a,b,c
2235,0.14,6.25,x
2236,0.32,6.97,y
2237,0.66,4.5,z
2238,0.46,4.88,x
2239,0.22,3.11,z
2240,0.05,6.17,x
2241,0.84,4.86,x
2242,0.46,2.69,z
2243,0.04,7.25,z
2244,0.33,5.17,x
2245,0.35,3.22,x
2246,0.24,3.07,x
2247,0.21,6.44,x
2248,0.29,1.36,z
2249,0.3,6.3,z
2250,0.89,5.91,z
2251,0.76,5.91,y
2252,0.1,4.75,y
2253,0.76,5.44,y
2254,0.41,3.55,x
2255,0.22,6.01,z
2256,0.01,5.03,x
2257,0.03,3.32,y
2258,0.25,5.52,y
2259,0.22,6.01,x
2260,0.31,5.45,x
2261,0.91,3.66,z
2262,0.94,3.4,x
2263,0.49,0.21,z
2264,0.17,4.6,z
2265,0.19,5.22,z
2266,0.19,3.5,y
2267,0.5,6.15,y
2268,0.08,7.29,y
2269,0.79,7.01,x
2270,0.57,3.34,y
2271,0.97,9.36,y
2272,0.88,6.47,z
2273,0.71,4.28,y
2274,0.12,4.76,y
2275,0.16,6.86,y
2276,0.34,5.36,x
2277,0.99,4.42,z
2278,0.91,4.28,x
2279,0.54,5.76,x
2280,0.25,6.97,y
2281,0.92,2.86,y
2282,0.75,5.21,x
2283,0.9,5.92,x
2284,0.65,1.65,y
2285,0.02,6.12,z
2286,0.1,4.22,z
2287,0.95,4.07,y
2288,0.89,4.55,z
2289,0.46,3.62,x
2290,0.79,4.29,z
2291,0.2,4.61,x
2292,0.31,7.25,y
2293,0.53,6.98,x
2294,0.18,4.63,z
2295,0.53,6.17,x
2296,0.35,3.27,x
2297,0.51,5.46,z
2298,0.79,5.48,z
2299,0.44,6.38,y
2300,0.29,4.45,z
2301,0.93,3.85,y
2302,0.03,3.7,z
2303,0.85,5.67,x
2304,0.44,6.6,y
2305,0.63,8.25,x
2306,0.78,3.87,x
2307,0.28,4.18,y
2308,0.12,6.81,z
2309,0.89,5.97,y
2310,0.41,3.81,z
2311,0.76,4.86,z
2312,0.11,2.66,z
2313,0.34,0.57,z
2314,0.55,3.06,y
2315,0.31,2.88,x
2316,0.45,8.39,y
2317,0.4,4.73,y
2318,0.49,7.29,z
2319,0.44,3.71,z
2320,0.27,1.9,z
2321,0.65,6.41,y
2322,0.24,3.98,z
2323,0.81,2.32,z
2324,0.81,2.97,x
2325,0.59,4.25,y
2326,0.54,-0.82,x
2327,0.05,5.25,x
2328,0.43,4.17,y
2329,0.64,2.98,z
2330,0,6.27,y
2331,0.87,3.49,x
2332,0.1,7.7,z
2333,0.1,2.87,y
2334,0.78,6.89,z
2335,0.03,6.08,y
2336,0.34,4.4,y
2337,0.79,8.28,z
2338,0.11,0.95,z
2339,0.35,3.65,y
2340,0.33,4.81,x
2341,0.7,9.39,x
2342,0.35,4.01,y
2343,0.41,3.48,y
2344,0.31,5.24,z
2345,0.96,3.87,y
2346,0.69,3.06,z
2347,0.89,8.07,z
2348,0.94,7.69,z
2349,0.74,3.99,z
2350,0.84,3.88,x
2351,0.8,6.99,z
2352,0.89,3.4,z
2353,0.83,6.72,z
2354,0.37,3.68,x
2355,0.87,0.71,x
2356,0.8,4.37,y
2357,0.18,5.31,x
2358,0.16,8.51,y
2359,0.94,3.8,y
2360,0.44,3.62,z
2361,0.08,4.13,x
2362,0.99,6.68,z
2363,0.02,6.16,x
2364,0.49,4.85,z
2365,0.43,5.2,y
2366,0.38,8.85,y
2367,0.74,4.72,z
2368,0.28,4.9,y
2369,0.66,7.03,y
2370,0.78,4.72,x
2371,0.72,7.58,y
2372,0.98,4.68,y
2373,0.54,6.2,x
2374,0.66,2.14,x
2375,0.28,6.39,y
2376,0.4,5.96,y
2377,0.56,6.25,x
2378,0.98,4.75,x
2379,0.96,6.17,y
2380,0.22,6.55,x
2381,0.39,4.25,y
2382,0.73,3.31,x
2383,0.69,8.12,y
2384,0.34,3.98,z
2385,0.69,2.17,z
2386,0.15,4.51,z
2387,0.89,5.76,y
2388,0.89,-0.36,x
2389,0.14,5.01,x
2390,0.04,5.9,z
2391,0.36,3.91,z
2392,0.38,7.05,y
2393,0.61,4.36,y
2394,0.51,5.51,y
2395,0.34,4.28,y
2396,0.33,4.59,x
2397,0.57,6.49,y
2398,0.05,1.92,x
2399,0.4,2.57,z
2400,0.26,6.84,z
2401,0.17,5.15,y
2402,0.06,9.49,y
2403,0.05,3.57,z
2404,0.97,5.07,y
2405,0.79,5.95,z
2406,0.03,5.68,y
2407,0.54,1.53,z
2408,0.02,8.1,x
2409,0.78,9.36,y
2410,0.76,6.28,z
2411,0.01,1.28,x
2412,0.82,4.43,z
2413,0.86,3.9,z
2414,0.42,5.13,x
2415,0.63,3.71,y
2416,0.42,3.64,z
2417,0.32,2.23,x
2418,0.77,5.14,y
2419,0.7,2.19,x
2420,0.92,3.27,z
2421,0.61,0,z
2422,0.06,2.09,y
2423,0.74,6.9,z
2424,0.9,7.74,y
2425,0.7,2.27,y
2426,0.58,1.61,x
2427,0.57,5.01,y
2428,0.37,3.73,z
2429,0.56,5.96,x
2430,0.9,5.26,y
2431,0.27,4.61,y
2432,0.83,6.67,y
2433,0.68,0.81,y
2434,0.9,3.07,y
2435,0.3,1.6,x
2436,0.39,4.15,y
2437,0.91,5.2,x
2438,0.78,3.99,z
2439,0.54,4.42,z
2440,0.83,4.49,y
2441,0.93,2.17,z
2442,0.3,0.46,x
2443,0.36,4.61,x
2444,0.96,6.14,x
2445,0.42,7.1,y
2446,0.56,8.28,z
2447,0.8,6.24,y
2448,0.48,5.45,z
2449,0.87,6.55,x
2450,0.7,5.01,y
2451,0.13,3.38,x
2452,0.65,3.47,y
2453,0.8,3.32,x
2454,0.24,5.59,z
2455,0.86,4.98,x
2456,0.48,6.41,z
2457,0.33,5.04,y
2458,1,6.2,z
2459,0.76,4.77,y
2460,0.47,2.36,z
2461,0.26,4.6,z
2462,0.38,7.79,y
2463,0.3,6.53,y
2464,0.77,6.58,y
2465,0.43,7.23,y
2466,0.66,4.11,y
2467,0.24,3.59,x
2468,0.3,3.9,z
2469,0.93,4.19,y
2470,0.14,3.99,y
2471,0.48,4.95,x
2472,0.8,3.26,z
2473,0.34,4,x
2474,0.55,5.23,z
2475,0.05,6.17,z
2476,0.69,4.73,z
2477,0.53,7.24,x
2478,0.39,6.05,x
2479,0.22,6.61,z
2480,0.05,3.5,x
2481,0.34,5.75,y
2482,0.53,2.8,x
2483,0.36,5.58,y
2484,0.99,6.52,x
2485,0.05,5.7,z
2486,0.07,1.59,z
2487,0.68,4.57,y
2488,0.16,3.42,x
2489,0.58,5.57,y
2490,0.09,5.61,x
2491,0.66,4.93,z
2492,0.36,3.69,y
2493,0.19,5.59,y
2494,0.68,5.93,z
2495,0.03,6.04,x
2496,0.44,4.68,x
2497,0.97,7.11,x
2498,0.41,5.23,z
2499,0.92,1.99,y
2500,0.1,7.94,y
2501,0.32,6.67,x
2502,0.53,8.74,y
2503,0.07,4.2,y
2504,0.85,2.83,z
2505,0.42,5.36,x
2506,0.99,4.93,z
2507,0.48,6.24,y
2508,0.91,4.77,z
2509,0.02,5.76,x
2510,0.19,8.57,z
2511,0.38,4.76,x
2512,0.31,4.3,z
2513,0.53,1.48,z
2514,0.73,6.91,z
2515,0.95,4.44,z
2516,0.5,5.34,y
2517,0.13,6.57,z
2518,0.61,4.02,y
2519,0.99,6.09,x
2520,0.09,2.45,y
2521,0.9,1.95,y
2522,0.33,5.44,z
2523,0.47,3.4,z
2524,0.18,1.79,z
2525,0.35,7.07,x
2526,0.18,6.43,y
2527,0.65,3.89,x
2528,0.24,7.29,y
2529,0.9,4.28,y
2530,0.34,6.52,x
2531,0.92,4.22,x
2532,0.5,6.12,z
2533,0.57,2.05,y
2534,0.74,4.25,z
2535,0.21,8.18,z
2536,0.31,2.68,z
2537,0.86,8.76,y
2538,0.2,8.31,y
2539,0.85,8.2,z
2540,0.95,2.74,z
2541,0.27,4.16,z
2542,0.84,6.02,x
2543,0.14,5.2,y
2544,0.76,5.34,z
2545,0.45,5.26,z
2546,0.96,7.27,y
2547,0.64,3.93,y
2548,0.16,6.42,y
2549,0.41,5.02,y
2550,0.98,3.47,z
2551,0.15,5.92,x
2552,0.89,8.03,x
2553,0.2,1.89,x
2554,0.62,7.2,z
2555,0.79,5.45,z
2556,0.73,4.26,z
2557,0.75,1.02,y
2558,0.52,2.68,x
2559,0.63,4.61,z
2560,0.46,9.49,z
2561,0.25,4.96,x
2562,0.06,0.8,z
2563,0.44,9.19,x
2564,0.77,5.61,z
2565,0.13,4.64,y
2566,0.98,5.77,y
2567,0.81,6.86,z
2568,0.98,2.69,y
2569,0.04,3.74,z
2570,0.57,3.25,z
2571,0.4,6.25,x
2572,0.46,1.48,z
2573,0.4,5.48,x
2574,0.57,6.52,z
2575,0.26,2.81,x
2576,0.87,1.86,x
2577,0.99,2.65,y
2578,0.93,3.9,y
2579,0.99,3.3,y
2580,0.66,6.09,y
2581,0.3,3.57,y
2582,0.87,8.22,x
2583,0.67,5.9,y
2584,0.49,5.83,y
2585,0.63,2.37,x
2586,0.69,2.28,x
2587,0.67,6.22,y
2588,0.88,5.18,z
2589,0.69,3.94,x
2590,1,3.53,y
2591,0.25,3.75,z
2592,0.48,8.13,y
2593,0.02,4.64,x
2594,0.25,5.35,x
2595,0.33,5.61,x
2596,0.67,11.33,y
2597,0.75,6.03,z
2598,0.34,7.86,z
2599,0.28,8.07,y
2600,0.74,6.93,y
2601,0.63,4.48,x
2602,0.63,6.63,x
2603,0.22,7.29,y
2604,0.91,4.32,y
2605,0.59,3.75,x
2606,0.17,3,x
2607,0.68,5.43,x
2608,0.11,5.2,z
2609,0.53,5.22,x
2610,0.94,8.32,y
2611,0.15,5.3,x
2612,0.59,3.67,y
2613,0.88,5.52,x
2614,0.18,6.4,z
2615,0.47,3.95,x
2616,0.14,7.31,x
2617,0.1,5,z
2618,0.29,6.56,z
2619,0.25,5.86,z
2620,0.72,8.44,y
2621,0.54,6.84,y
2622,0.3,5.16,z
2623,0.2,4.47,x
2624,0.91,4.4,x
2625,0.03,7.61,z
2626,0.6,5.46,x
2627,0.15,6.89,z
2628,0.58,2.4,x
2629,0.45,10.69,y
2630,0.49,0.29,z
2631,0.53,7.76,x
2632,0.38,5.21,z
2633,0.93,7.64,y
2634,0.43,6.85,z
2635,0.24,6.96,y
2636,0.88,5.61,y
2637,0.18,3.14,y
2638,0.09,7.7,x
2639,0.24,6.95,z
2640,0.86,3.51,z
2641,0.83,7.79,y
2642,0.36,3.88,y
2643,0.19,5.7,z
2644,0.77,6.41,z
2645,0.44,5.41,z
2646,0.48,9.07,y
2647,0.98,7.23,z
2648,0.09,2.46,z
2649,0.1,4.54,y
2650,0.64,8.99,x
2651,0.2,3.3,x
2652,0.26,1.1,y
2653,0.32,3.95,x
2654,0.87,2.74,z
2655,0.05,1.62,y
2656,0.2,3.81,z
2657,0.57,2.91,z
2658,0.04,4.3,z
2659,0.02,5.66,x
2660,0.2,4.4,x
2661,0.34,8.14,y
2662,0.28,5.65,z
2663,0.19,4.31,x
2664,0.2,5.41,z
2665,0.23,3.87,y
2666,0.41,9.03,z
2667,0.87,6.71,x
2668,0.28,5.95,y
2669,0.75,5.46,x
2670,0.34,4.77,y
2671,0.96,5.35,z
2672,0.63,3.4,y
2673,0.85,8.08,y
2674,0.12,8.21,z
2675,0.56,5.54,z
2676,0.78,4.86,z
2677,0.26,3.77,z
2678,0.5,4.62,z
2679,0.58,7.62,x
2680,0.48,2.02,z
2681,0.61,5.98,z
2682,0.02,6.72,z
2683,0.38,6.58,y
2684,0.38,4.98,z
2685,0.07,4.53,z
2686,0.29,3.78,z
2687,0.76,5.67,y
2688,0.8,2.26,z
2689,0.2,5.9,x
2690,0.92,3.34,x
2691,0.1,5.97,z
2692,0.89,9.06,z
2693,0.51,3.53,z
2694,0.13,3.34,y
2695,0.34,2.08,z
2696,0.21,3.19,x
2697,0.83,7.74,y
2698,0.46,2.11,x
2699,0.34,6.33,x
2700,0.14,6.19,x
2701,0.87,8.52,y
2702,0.05,8.6,z
2703,0.61,1.95,x
2704,0.79,6.44,x
2705,0.58,3.87,z
2706,0.53,9.04,x
2707,0.41,3.17,y
2708,0.73,7.63,y
2709,0.88,2.29,z
2710,0.11,7.43,x
2711,0.32,7.12,z
2712,0.37,7.54,x
2713,0.25,7.77,x
2714,0.12,5.67,y
2715,0.58,5.01,x
2716,0.2,6.72,x
2717,0.58,5.05,y
2718,0.59,2.97,x
2719,0.98,5.61,z
2720,0.25,2.31,x
2721,0.48,9.01,y
2722,0.16,6.57,x
2723,0.79,3.52,z
2724,0.1,7.25,x
2725,0.48,9.63,y
2726,0.08,2.88,y
2727,0.94,10.07,z
2728,0.19,5.44,z
2729,0.71,3.98,y
2730,0.96,2.13,y
2731,0.74,2.84,x
2732,0.26,6.84,x
2733,0.61,7.15,z
2734,0.13,4.47,y
2735,0.18,7.25,z
2736,0.08,5.03,y
2737,0.27,5.17,z
2738,0.44,8.8,x
2739,0.71,2.4,y
2740,0.35,1.39,x
2741,0.15,5.19,x
2742,0.6,7.59,z
2743,0.89,3.83,y
2744,0.39,0.98,x
2745,0.1,8.45,z
2746,0.81,4.6,x
2747,0.12,3.08,y
2748,0.76,8.22,z
2749,0.13,1.33,z
2750,0.85,3.24,x
2751,0.54,4.87,y
2752,0.6,6.87,x
2753,0.86,4.09,y
2754,0.87,9.49,x
2755,0.06,6.09,z
2756,0.47,1.64,x
2757,0.34,5.65,x
2758,0.82,4.45,z
2759,0.53,4.98,y
2760,0.44,7.32,y
2761,0.06,3.92,z
2762,0.25,7.82,x
2763,0.4,4.84,z
2764,0.11,5.2,x
2765,0.42,7.52,z
2766,0.24,4.61,z
2767,0.85,6.3,x
2768,0.23,7.14,z
2769,0.75,9.46,z
2770,0.72,3.43,y
2771,0.1,5.63,y
2772,0.48,3.97,z
2773,0.13,3.15,y
2774,0.26,9.43,z
2775,0.23,4.96,z
2776,0.18,4.26,z
2777,0.02,5.02,x
2778,0.28,5.02,x
2779,0.12,5.45,x
2780,0.41,4.74,y
2781,0.79,5.75,x
2782,0.11,1.88,z
2783,0.34,6.99,x
2784,0.33,5.11,y
2785,0.77,6.73,y
2786,0.54,5.6,y
2787,0.79,4.69,z
2788,0.8,8.45,z
2789,0.22,8.7,y
2790,0.47,1.82,x
2791,0.32,5.34,z
2792,0.54,5.41,y
2793,0.97,6.28,y
2794,0.15,9.52,z
2795,0.36,7.4,z
2796,0.79,3.72,x
2797,0.59,6.22,z
2798,0.54,4.63,x
2799,0.87,6.86,y
2800,0.77,5.86,x
2801,0.45,4.21,x
2802,0.94,7.21,x
2803,0.56,2.98,x
2804,0.57,4.12,z
2805,0.11,4.56,y
2806,0.39,3.66,y
2807,0.98,3.7,x
2808,0.22,7.2,y
2809,0.22,1.73,x
2810,0.28,4.22,z
2811,0.12,6.61,z
2812,0.18,7.48,x
2813,0.28,3.27,y
2814,0.64,2.65,x
2815,0.96,3.69,y
2816,0.07,7.13,y
2817,0.04,6.2,y
2818,0.04,1.78,y
2819,0.42,4.6,y
2820,0.25,7.01,y
2821,0.11,6.49,z
2822,0.86,5.26,z
2823,0.15,6.65,z
2824,0.55,6.22,y
2825,0.51,7.13,y
2826,0.31,3.35,x
2827,0.68,5.05,z
2828,0.75,6.75,z
2829,0.95,5.35,y
2830,0.36,2.28,x
2831,0.35,5.84,z
2832,0.45,7.05,y
2833,0.67,1.18,z
2834,0.53,5.71,y
2835,0,6.74,x
2836,0.86,7.01,y
2837,0.56,5.96,z
2838,0.9,6.77,z
2839,0.95,2.52,x
2840,0.9,6.14,y
2841,0.69,3.78,y
2842,0.84,5.79,x
2843,0.46,4.51,z
2844,0.63,5.98,y
2845,0.44,4.82,x
2846,0.97,4.04,x
2847,0.28,1.63,z
2848,0.98,4,y
2849,0.68,6.24,y
2850,0.91,6.14,x
2851,0.67,3.91,x
2852,0.41,4.23,x
2853,0.93,7.39,y
2854,0.15,7.44,x
2855,0.02,4.37,x
2856,0.58,2.32,y
2857,0.51,3.48,y
2858,0.29,0.4,y
2859,0.28,4.15,y
2860,0.61,7.81,z
2861,0.39,2.07,y
2862,0.29,5.94,z
2863,0.39,5.89,z
2864,0.82,3.81,z
2865,0.23,1.4,z
2866,0.99,5.48,x
2867,0.62,5.95,y
2868,0.83,6.38,y
2869,0.24,2.88,z
2870,0.77,3.93,z
2871,0.06,2.41,z
2872,0.51,1.92,y
2873,0.86,3.72,y
2874,0.99,6.31,x
2875,0.4,6.85,y
2876,0.47,6.66,z
2877,0.42,10.16,z
2878,0.92,5.82,x
2879,0.48,6.57,z
2880,0.94,1.24,x
2881,0.12,6.55,z
2882,0.56,5.52,z
2883,0.73,3.15,z
2884,0,4.03,z
2885,0.63,6.01,x
2886,0.37,3.62,x
2887,0.09,8.23,z
2888,0.68,8.85,x
2889,0.61,8.92,y
2890,0.1,7.1,z
2891,0.4,5.97,y
2892,0.1,9.18,y
2893,0.79,7.87,z
2894,0.62,2.76,x
2895,0.41,5.67,z
2896,0,5.22,z
2897,0.61,5.8,x
2898,0.59,5.29,z
2899,0.91,4.22,y
2900,0.39,6.39,x
2901,0.96,4.07,x
2902,0.26,5.41,x
2903,0.14,5.82,x
2904,0.53,2.25,y
2905,0.45,6.41,z
2906,0.52,7.73,z
2907,0.09,3.99,z
2908,0.6,2.31,z
2909,0.68,1.4,x
2910,0.55,8.77,x
2911,0.62,3.18,y
2912,0.3,2.06,x
2913,0.28,2.41,z
2914,0.6,2.67,x
2915,0.17,7.3,z
2916,0.92,3.8,z
2917,0.99,6.34,y
2918,0.75,4.98,x
2919,0.49,6.18,x
2920,0.93,5.91,y
2921,0.62,6.3,x
2922,0.39,4.68,x
2923,0.2,8.38,x
2924,0.72,5.21,z
2925,0.93,4.19,y
2926,0.69,3.83,y
2927,0.89,4.39,x
2928,0.23,4.85,x
2929,0.55,5.95,z
2930,0.21,4.93,z
2931,0.54,6.57,x
2932,0.97,5.07,z
2933,0.8,5.27,x
2934,0.2,3.81,z
2935,0.4,5.55,z
2936,0.83,5.63,x
2937,0.44,2.83,z
2938,0.4,4.83,x
2939,0.03,4.42,x
2940,0.14,4.8,z
2941,0.68,6.39,z
2942,0.06,5.56,z
2943,1,3.49,z
2944,0.11,6.08,z
2945,0.63,6.83,z
2946,0.03,6.93,z
2947,0.11,4.52,x
2948,0.45,2.73,z
2949,0.8,0.38,y
2950,0.83,7.33,z
2951,0.72,2.41,x
2952,0.28,5.24,z
2953,0.64,3.96,z
2954,0.96,4.85,y
2955,0.54,3.1,z
2956,0.43,4.6,z
2957,0.72,4.67,x
2958,0.17,7.01,z
2959,0.32,5.82,x
2960,0.39,5.23,y
2961,0.05,4.27,x
2962,0.28,7.8,z
2963,0.72,1.63,x
2964,0.33,6.48,z
2965,0.6,5.02,x
2966,0.52,6.61,y
2967,0.86,5.63,y
2968,0.53,6.3,z
2969,0.11,3.06,z
2970,0.78,1.55,y
2971,0.06,6.36,y
2972,0.71,6.12,x
2973,0.05,3.4,y
2974,0.78,4.85,x
2975,0.78,6.35,z
2976,0.55,6.11,y
2977,0.86,1.62,z
2978,0.21,6.41,z
2979,0.23,3.63,y
2980,0.67,5.94,y
2981,0.44,2.28,x
2982,0.66,6.44,x
2983,0.08,4.54,z
2984,0.34,1.98,y
2985,0.81,6.34,z
2986,0.35,4.13,x
2987,0.05,4.14,z
2988,0.86,2.85,x
2989,0.56,7.69,x
2990,0.91,4.12,z
2991,0.76,4.34,z
2992,0.55,2.68,x
2993,0.48,4.06,y
2994,0.35,2.81,z
2995,0.57,3.79,z
2996,0.95,2.21,y
2997,0.26,9.43,y
2998,0.11,6.83,y
2999,0.25,2.35,z
3000,0.18,4.39,y
3001,0.53,5.46,y
3002,0.8,8.89,x
3003,0.48,0.92,x
3004,0.18,5.35,x
3005,0.4,5.3,y
3006,0.81,8.15,x
3007,0.94,4.14,y
3008,0.17,2.98,z
3009,0.35,4.9,y
3010,0.71,3.52,y
3011,0.96,3.21,z
3012,0.43,6.1,x
3013,0.14,4.67,y
3014,0.81,6.36,x
3015,0.81,5.19,y
3016,0.91,2.84,z
3017,0.7,5.72,y
3018,0.46,4.68,z
3019,0.08,5.22,y
3020,0.73,6.63,y
3021,0.93,4.93,y
3022,0.04,4.55,y
3023,0.11,5.27,z
3024,0.4,2.65,z
3025,0.15,5.6,z
3026,0.11,4.99,z
3027,0.29,7.76,z
3028,0.58,3.28,y
3029,0.14,3.26,z
3030,0.49,3.4,x
3031,0.36,4.7,x
3032,0.41,3.12,z
3033,0.28,5.46,z
3034,0.43,6.4,x
3035,0.46,5.87,y
3036,0.83,8.4,x
3037,0.36,2.47,z
3038,0.44,7.26,z
3039,0.01,5.49,x
3040,0.97,2.26,x
3041,0.34,3.65,y
3042,0.03,7.04,z
3043,0.36,3.28,x
3044,0.64,7.1,x
3045,0.29,6.7,z
3046,0.98,4.3,y
3047,0.08,3.59,x
3048,0.13,6.04,x
3049,0.26,4.41,x
3050,0.21,5.22,x
3051,0.95,0.33,y
3052,0.35,5.64,z
3053,0.41,4.47,x
3054,0.54,5.86,y
3055,0.28,5.3,x
3056,0.41,4.13,x
3057,0.44,6.7,z
3058,0.32,1.11,x
3059,0,2.65,z
3060,0.97,5.01,x
3061,0.11,3.78,x
3062,0.55,5.11,z
3063,0.73,2.84,x
3064,0.86,5.52,z
3065,0.61,5.35,x
3066,0,4.42,x
3067,0.32,3.3,x
3068,0.87,5.97,y
3069,0.51,4.13,z
3070,0.91,3.96,x
3071,0.99,3.22,y
3072,0.31,2.7,x
3073,0.01,4.14,x
3074,0.41,5.43,z
3075,0.77,7.68,z
3076,0.95,2.69,z
3077,0.73,8.22,z
3078,0.52,3.49,z
3079,0.73,4.89,z
3080,0.85,4.32,x
3081,0.82,4.31,z
3082,0.72,3.59,z
3083,0.44,5.46,z
3084,0.44,3.88,x
3085,0.84,6.14,z
3086,0.39,6.11,y
3087,0.67,3.57,y
3088,0.08,3.01,x
3089,0.83,2.51,x
3090,0.02,5.14,x
3091,0.11,5.13,y
3092,0.49,7.43,x
3093,0.68,7.4,y
3094,0.61,5.03,z
3095,0.9,4.97,x
3096,0.31,2.32,y
3097,0.54,4.87,y
3098,0.74,-1.87,x
3099,0.16,2.69,y
3100,0.68,8.33,y
3101,0.88,4.95,z
3102,0.37,3.51,y
3103,0.03,8.3,x
3104,0.52,8.36,x
3105,0.11,3.55,z
3106,0.9,6.84,y
3107,0.22,5.41,x
3108,0.62,6.61,z
3109,0.36,5.01,y
3110,0.79,7.08,x
3111,0.95,3.7,x
3112,0.69,4.69,z
3113,0.01,1.63,x
3114,0.96,7.12,x
3115,0.5,3.3,y
3116,1,0.08,x
3117,0.42,4.2,x
3118,0.16,4.64,z
3119,0.76,7.62,x
3120,0.32,6.27,x
3121,0.62,7.37,x
3122,0.59,3.6,z
3123,0.05,7.28,x
3124,0.39,5.77,z
3125,0.31,-1.67,y
3126,0.43,6.36,z
3127,0.36,7.76,x
3128,0.75,2.5,y
3129,0.95,3.04,y
3130,0.22,6.47,y
3131,0.83,2.06,x
3132,0.03,5.9,y
3133,0.95,5.7,y
3134,0.98,2.2,y
3135,0.81,6.32,x
3136,0.67,5.66,z
3137,0.3,4.33,y
3138,0.85,3.23,z
3139,0.85,5.39,z
3140,0.38,0.53,x
3141,0.87,9.45,y
3142,0.54,6.7,x
3143,0.58,2.57,z
3144,0.02,4.88,x
3145,0.91,7.24,x
3146,0.64,2.66,z
3147,0.55,4.87,x
3148,0.68,6.64,y
3149,0.94,5.34,x
3150,0.18,5.49,z
3151,0.44,4.95,y
3152,0.3,3.61,x
3153,0.45,7.08,x
3154,0.91,6.8,z
3155,0.77,5.7,y
3156,0.68,6.56,y
3157,0.63,0.23,y
3158,0.4,2.43,y
3159,0.05,5.81,y
3160,0.64,6.01,z
3161,0.22,4.55,z
3162,0.09,7.85,x
3163,0.13,4.78,x
3164,0.88,4.2,y
3165,0.65,7.42,y
3166,0.03,5.72,y
3167,0.13,2.35,z
3168,0.16,5.29,y
3169,0.47,4.48,x
3170,0.75,7.88,y
3171,0.84,3.95,z
3172,0.88,6.78,y
3173,0.01,7.49,z
3174,0,8.87,y
3175,0.45,3.69,z
3176,0.73,1.17,x
3177,0.79,3.78,z
3178,0.63,4.58,z
3179,0.16,7.03,z
3180,0.49,7.12,y
3181,0.75,5.52,y
3182,0.27,1.39,y
3183,0.76,4.86,y
3184,0.2,3.43,x
3185,0.38,2.54,z
3186,0.56,4.3,z
3187,0.45,2.38,x
3188,0.89,1.9,y
3189,0.59,4.63,y
3190,0.07,6.91,y
3191,0.13,5.57,x
3192,0.15,4.64,x
3193,0.86,6.84,z
3194,0.95,5.63,x
3195,0.9,7.27,z
3196,0.11,5.3,y
3197,0.79,6.8,x
3198,0,3.6,z
3199,0.7,6.52,x
3200,0.51,9,z
3201,0.27,5.51,x
3202,0.63,4.93,y
3203,1,3.94,x
3204,0.51,2.9,y
3205,0.93,8.07,x
3206,0.19,3.71,z
3207,0.48,4.34,z
3208,0.63,3.7,y
3209,0.2,4.35,y
3210,0.43,1.48,x
3211,0.67,6.18,z
3212,0.82,3.78,x
3213,0.36,2.84,z
3214,0.62,6.01,z
3215,0.35,7.9,z
3216,0.76,3.78,y
3217,0.57,4.35,x
3218,0.63,4.51,y
3219,0.39,5.7,x
3220,0.66,4.23,z
3221,0.68,6.03,x
3222,0.78,3.09,z
3223,0.77,6.52,x
3224,0.01,3.17,y
3225,0.23,6.93,x
3226,0.7,1.74,y
3227,0.9,3.34,y
3228,0.09,5.87,x
3229,0.66,0.74,z
3230,0.64,5.74,y
3231,0.93,6.89,z
3232,0.91,4.15,z
3233,0.03,5.72,x
3234,0.33,4.47,y
3235,0.87,8.49,z
3236,0.21,0.62,z
3237,0.49,6.85,z
3238,0.47,2.45,x
3239,0.53,0.01,y
3240,0.94,5.66,x
3241,0.54,3.17,x
3242,0.54,2.89,z
3243,0.64,5.99,x
3244,0.56,3.42,y
3245,0.06,2.58,z
3246,0.29,6.06,y
3247,0.48,2.8,x
3248,0.3,5.21,x
3249,0.53,8.56,y
3250,0.44,4.66,x
3251,0.79,2.3,y
3252,0.06,1.39,z
3253,0.37,2.92,y
3254,0.89,1.12,z
3255,0.52,5.38,z
3256,0.37,2.13,y
3257,0.42,1.74,z
3258,0.02,4.33,y
3259,0.59,4.73,x
3260,0.49,5.77,x
3261,0.1,6.58,y
3262,0.4,2.79,z
3263,0.05,3.15,z
3264,0.04,4.77,z
3265,0.23,3.68,z
3266,0.98,6.56,y
3267,0.05,4.56,y
3268,0.13,6.82,z
3269,0.93,5.06,x
3270,0.09,8.69,z
3271,0.94,8.46,x
3272,0.67,3.66,y
3273,0,4.78,x
3274,0.85,5.66,z
3275,0.52,1.95,z
3276,0.42,6.48,z
3277,0.86,5.12,y
3278,0.59,4.8,x
3279,0.06,7.04,y
3280,0.14,2.39,y
3281,0.41,5.19,y
3282,0.83,3.85,z
3283,0.39,6.12,z
3284,0.62,3.67,x
3285,0.61,7.51,z
3286,0.54,3.16,x
3287,0.58,10.3,x
3288,0.77,2.63,y
3289,0.7,7.84,z
3290,0.7,6.7,z
3291,0.98,6.37,z
3292,0.23,1.87,z
3293,0.86,2.82,x
3294,0.68,3.1,z
3295,0.3,6.11,y
3296,0.16,4.97,y
3297,0.77,5.34,x
3298,0.99,6.66,x
3299,0.86,5.26,z
3300,0.68,6.88,x
3301,0.81,5.96,y
3302,0.49,6.16,y
3303,0.46,7.99,y
3304,0.31,3.84,x
3305,0.02,3.47,y
3306,0.41,6.37,x
3307,0.98,2.79,x
3308,0.14,5.85,y
3309,0.73,4.59,y
3310,0.53,3.47,x
3311,0.96,4.69,x
3312,0.72,3.03,y
3313,0.91,5.78,y
